,WordPatternRawCount,WordPatternNormalizedCount,WordPatternPercentTotal,WordPatternFileRawCount,WordPatternFilePercentTotal,WordPatternFileList
he_ain't_been,2,0.145,0.18,2,0.87,"['DCB_se1_ag2_m_01_1', 'PRV_se0_ag3_f_02_2']"
that_ain't_me,2,0.145,0.18,2,0.87,"['DCB_se1_ag2_m_01_1', 'DCB_se2_ag4_m_01_1']"
it_ain't_nobody,2,0.145,0.18,2,0.87,"['DCB_se1_ag2_m_03_2', 'PRV_se0_ag2_m_01_1']"
they_ain't_tried,2,0.145,0.18,1,0.43,['DCB_se1_ag4_m_02_1']
they_ain't_like,2,0.145,0.18,2,0.87,"['ATL_se0_ag2_m_03_1', 'VLD_se0_ag4_f_02_1']"
he_ain't_forgot,2,0.145,0.18,1,0.43,['DCB_se1_ag2_m_01_1']
he_ain't_go,2,0.145,0.18,2,0.87,"['ATL_se0_ag2_m_03_1', 'DCB_se1_ag1_f_03_1']"
i_ain't_taking,2,0.145,0.18,2,0.87,"['ATL_se0_ag1_m_01_1', 'ATL_se0_ag2_f_01_1']"
nobody_ain't_do,2,0.145,0.18,2,0.87,"['DCB_se1_ag1_f_01_1', 'DCB_se2_ag4_f_05_1']"
he_ain't_in,2,0.145,0.18,2,0.87,"['PRV_se0_ag1_m_02_1', 'PRV_se0_ag3_m_03_1']"
i_ain't_stunting,2,0.145,0.18,2,0.87,"['VLD_se0_ag3_m_01_2', 'VLD_se0_ag3_m_03_1']"
they_ain't_joke,1,0.072,0.09,1,0.43,['ROC_se0_ag2_f_02_1']
they_ain't_kill,1,0.072,0.09,1,0.43,['DCB_se1_ag4_m_02_1']
they_ain't_in,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_03_1']
they_ain't_long,1,0.072,0.09,1,0.43,['PRV_se0_ag3_m_02_1']
they_ain't_leave,1,0.072,0.09,1,0.43,['DCB_se1_ag3_f_03_1']
they_ain't_keep,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_03_1']
they_ain't_live,1,0.072,0.09,1,0.43,['DCB_se1_ag4_m_02_1']
they_ain't_making,1,0.072,0.09,1,0.43,['LES_se0_ag3_m_01_2']
they_ain't_pay,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
they_ain't_living,1,0.072,0.09,1,0.43,['DCA_se1_ag1_f_03_1']
there_ain't_constituentboundary,1,0.072,0.09,1,0.43,['DCA_se3_ag1_m_05_1']
they_ain't_from,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_03_1']
they_ain't_done,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_03_1']
stuff_ain't_joke,1,0.072,0.09,1,0.43,['DCB_se2_ag2_f_01_1']
sports_ain't_constituentboundary,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
span_ain't_long,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_03_1']
something_ain't_right,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_02_2']
some_ain't_got,1,0.072,0.09,1,0.43,['PRV_se0_ag3_f_03_1']
skin_ain't_same,1,0.072,0.09,1,0.43,['ROC_se0_ag2_f_02_1']
she_ain't_white,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_02_1']
she_ain't_want,1,0.072,0.09,1,0.43,['VLD_se0_ag3_m_03_1']
she_ain't_take,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_05_1']
she_ain't_say,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_03_2']
she_ain't_really,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
she_ain't_rdname,1,0.072,0.09,1,0.43,['DCB_se1_ag2_f_02_1']
she_ain't_have,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_05_1']
she_ain't_had,1,0.072,0.09,1,0.43,['DCA_se2_ag1_f_02_1']
she_ain't_got,1,0.072,0.09,1,0.43,['DCA_se2_ag1_f_02_1']
she_ain't_going,1,0.072,0.09,1,0.43,['ROC_se0_ag2_f_02_1']
she_ain't_catch,1,0.072,0.09,1,0.43,['DCA_se1_ag1_m_07_1']
she_ain't_came,1,0.072,0.09,1,0.43,['VLD_se0_ag3_m_03_1']
she_ain't_bother,1,0.072,0.09,1,0.43,['VLD_se0_ag4_f_02_1']
she_ain't_believe,1,0.072,0.09,1,0.43,['DCA_se1_ag1_m_02_1']
she_ain't_been,1,0.072,0.09,1,0.43,['DCB_se1_ag2_f_02_1']
she_ain't_afraid,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_05_1']
she_ain't_accustomed,1,0.072,0.09,1,0.43,['DCB_se1_ag1_m_03_1']
that_ain't_been,1,0.072,0.09,1,0.43,['PRV_se0_ag2_f_03_1']
that_ain't_child,1,0.072,0.09,1,0.43,['PRV_se0_ag1_f_02_2']
that_ain't_choice,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_01_1']
that_ain't_you,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_01_1']
they_ain't_do,1,0.072,0.09,1,0.43,['DCB_se2_ag3_m_01_1']
they_ain't_bedrooms,1,0.072,0.09,1,0.43,['LES_se0_ag4_m_02_1']
they_ain't_bad,1,0.072,0.09,1,0.43,['DCA_se2_ag1_f_02_1']
they_ain't_ambulances,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_05_1']
they_ain't_about,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_05_1']
these_ain't_nothing,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
there_ain't_places,1,0.072,0.09,1,0.43,['VLD_se0_ag2_m_01_1']
there_ain't_nobody,1,0.072,0.09,1,0.43,['PRV_se0_ag3_m_03_1']
there_ain't_any,1,0.072,0.09,1,0.43,['PRV_se0_ag2_f_03_1']
that_ain't_yours,1,0.072,0.09,1,0.43,['ATL_se0_ag1_f_01_1']
that_ain't_work,1,0.072,0.09,1,0.43,['PRV_se0_ag3_m_02_2']
that_ain't_conversation,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
that_ain't_when,1,0.072,0.09,1,0.43,['VLD_se0_ag3_m_01_2']
that_ain't_stopped,1,0.072,0.09,1,0.43,['VLD_se0_ag3_m_03_1']
that_ain't_spread,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_03_1']
that_ain't_something,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_05_1']
that_ain't_shrimp boat,1,0.072,0.09,1,0.43,['DCB_se2_ag3_f_02_1']
that_ain't_restaurant,1,0.072,0.09,1,0.43,['DCB_se1_ag2_f_02_1']
that_ain't_reason,1,0.072,0.09,1,0.43,['LES_se0_ag4_m_02_1']
that_ain't_like,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_03_1']
that_ain't_it,1,0.072,0.09,1,0.43,['DCB_se2_ag1_m_01_1']
that_ain't_cutting,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
they_ain't_paying,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_02_1']
air_ain't_seeping,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_01_1']
they_ain't_realize,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_01_1']
they_ain't_remember,1,0.072,0.09,1,0.43,['DCB_se1_ag2_f_02_1']
you_ain't_heard,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
you_ain't_have to,1,0.072,0.09,1,0.43,['VLD_se0_ag3_m_03_1']
you_ain't_go,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
you_ain't_giving,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
you_ain't_give,1,0.072,0.09,1,0.43,['DCA_se1_ag1_m_01_1']
you_ain't_getting,1,0.072,0.09,1,0.43,['DCA_se1_ag1_f_02_1']
you_ain't_gaining,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_03_1']
you_ain't_from,1,0.072,0.09,1,0.43,['DCB_se1_ag4_f_01_2']
you_ain't_elaborate,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_03_2']
you_ain't_earned,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_04_2']
you_ain't_earn,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_04_2']
you_ain't_driving,1,0.072,0.09,1,0.43,['PRV_se0_ag3_f_03_1']
you_ain't_did,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_03_2']
you_ain't_competition,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_04_2']
you_ain't_cocky,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_02_1']
you_ain't_claim,1,0.072,0.09,1,0.43,['ATL_se0_ag1_f_01_1']
you_ain't_care,1,0.072,0.09,1,0.43,['DCB_se1_ag1_f_03_1']
you_ain't_bring,1,0.072,0.09,1,0.43,['VLD_se0_ag3_m_03_1']
you_ain't_boy,1,0.072,0.09,1,0.43,['PRV_se0_ag3_f_03_1']
you_ain't_bad,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
you_ain't_ask,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_02_1']
you_ain't_achieved,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_04_2']
you_ain't_about,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
you_ain't_hearing,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_03_1']
you_ain't_home,1,0.072,0.09,1,0.43,['VLD_se0_ag4_f_02_1']
you_ain't_it,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_03_2']
you_ain't_saying,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
you_ain't_worry,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_03_1']
you_ain't_woke,1,0.072,0.09,1,0.43,['DCB_se2_ag3_f_02_1']
you_ain't_wash,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_01_1']
you_ain't_up,1,0.072,0.09,1,0.43,['DCB_se2_ag3_f_02_1']
you_ain't_try,1,0.072,0.09,1,0.43,['DCB_se3_ag3_m_02_1']
you_ain't_trick,1,0.072,0.09,1,0.43,['DCA_se3_ag1_f_03_1']
you_ain't_today,1,0.072,0.09,1,0.43,['DCB_se1_ag1_m_03_1']
you_ain't_tell,1,0.072,0.09,1,0.43,['DCB_se1_ag1_f_03_1']
you_ain't_taking,1,0.072,0.09,1,0.43,['DCB_se1_ag1_m_03_1']
you_ain't_slipping,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_03_1']
you_ain't_respect,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
you_ain't_know,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_03_1']
you_ain't_read,1,0.072,0.09,1,0.43,['DCB_se1_ag3_f_03_1']
you_ain't_psychologist,1,0.072,0.09,1,0.43,['DCA_se1_ag4_m_02_1']
you_ain't_playing,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
you_ain't_old,1,0.072,0.09,1,0.43,['PRV_se0_ag1_m_02_1']
you_ain't_nigga,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_03_1']
you_ain't_messing,1,0.072,0.09,1,0.43,['DCB_se2_ag3_m_02_2']
you_ain't_make,1,0.072,0.09,1,0.43,['LES_se0_ag3_m_01_2']
you_ain't_look,1,0.072,0.09,1,0.43,['PRV_se0_ag2_m_02_1']
you_ain't_listening,1,0.072,0.09,1,0.43,['ROC_se0_ag2_f_02_1']
you_ain't_listen,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
you and rdname_ain't_constituentboundary,1,0.072,0.09,1,0.43,['DCB_se1_ag1_f_03_1']
y'all_ain't_thinking,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
y'all_ain't_stressing,1,0.072,0.09,1,0.43,['PRV_se0_ag1_f_01_1']
things_ain't_right,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
this_ain't_turf,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
this_ain't_tradition,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_03_1']
this_ain't_store,1,0.072,0.09,1,0.43,['VLD_se0_ag3_m_03_1']
this_ain't_something,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
this_ain't_real,1,0.072,0.09,1,0.43,['DCB_se2_ag1_f_01_1']
this_ain't_rdname,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_03_1']
this_ain't_place,1,0.072,0.09,1,0.43,['DCB_se2_ag3_m_01_1']
this_ain't_nobody,1,0.072,0.09,1,0.43,['DCB_se3_ag3_f_02_1']
this_ain't_five boroughs,1,0.072,0.09,1,0.43,['LES_se0_ag3_m_01_1']
this_ain't_abuse,1,0.072,0.09,1,0.43,['PRV_se0_ag3_m_01_1']
they_ain't_worrying,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_05_1']
union_ain't_in,1,0.072,0.09,1,0.43,['LES_se0_ag4_m_02_1']
they_ain't_times,1,0.072,0.09,1,0.43,['PRV_se0_ag3_m_02_2']
they_ain't_think,1,0.072,0.09,1,0.43,['DCB_se1_ag1_f_03_1']
they_ain't_ten,1,0.072,0.09,1,0.43,['DCA_se2_ag3_m_02_1']
they_ain't_tell,1,0.072,0.09,1,0.43,['DCA_se1_ag1_f_04_1']
they_ain't_talked,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_01_1']
they_ain't_talk,1,0.072,0.09,1,0.43,['ATL_se0_ag2_f_01_1']
they_ain't_small,1,0.072,0.09,1,0.43,['DCA_se1_ag4_m_02_1']
they_ain't_shooting,1,0.072,0.09,1,0.43,['VLD_se0_ag4_m_02_1']
they_ain't_shit,1,0.072,0.09,1,0.43,['LES_se0_ag2_f_01_2']
they_ain't_saying,1,0.072,0.09,1,0.43,['DCB_se2_ag1_f_01_1']
this_ain't_work,1,0.072,0.09,1,0.43,['ROC_se0_ag2_f_02_1']
uptown_ain't_nothing,1,0.072,0.09,1,0.43,['DCA_se1_ag1_m_07_2']
y'all_ain't_pay,1,0.072,0.09,1,0.43,['ATL_se0_ag1_f_02_1']
we_ain't_meet,1,0.072,0.09,1,0.43,['VLD_se0_ag3_m_03_1']
y'all_ain't_messing,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_05_1']
who_ain't_white,1,0.072,0.09,1,0.43,['ATL_se0_ag1_f_02_1']
who_ain't_got,1,0.072,0.09,1,0.43,['ROC_se0_ag2_f_02_1']
who_ain't_constituentboundary,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_02_1']
what_ain't_out,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_02_1']
what_ain't_explained,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_03_1']
westbrook_ain't_coming,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
we_ain't_want,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_05_1']
we_ain't_really,1,0.072,0.09,1,0.43,['VLD_se0_ag2_m_01_1']
we_ain't_putting,1,0.072,0.09,1,0.43,['DCB_se3_ag4_m_01_1']
we_ain't_leave,1,0.072,0.09,1,0.43,['PRV_se0_ag2_m_01_1']
wage_ain't_that,1,0.072,0.09,1,0.43,['DCB_se1_ag3_f_03_1']
we_ain't_know,1,0.072,0.09,1,0.43,['DCB_se3_ag3_f_02_1']
we_ain't_hustle,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
we_ain't_grounded,1,0.072,0.09,1,0.43,['PRV_se0_ag3_f_03_1']
we_ain't_going,1,0.072,0.09,1,0.43,['LES_se0_ag3_m_01_1']
we_ain't_getting,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_03_2']
we_ain't_fight,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_02_1']
we_ain't_feeling,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_03_1']
we_ain't_cousins,1,0.072,0.09,1,0.43,['VLD_se0_ag3_m_01_1']
scene_ain't_like,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_03_1']
wave_ain't_hoe,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_03_1']
security_ain't_security,1,0.072,0.09,1,0.43,['ROC_se0_ag1_m_02_1']
nigga_ain't_do,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
rdname_ain't_want,1,0.072,0.09,1,0.43,['DCB_se3_ag1_f_01_1']
i_ain't_dumbest,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_04_2']
i_ain't_done,1,0.072,0.09,1,0.43,['PRV_se0_ag3_m_03_1']
i_ain't_different,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
i_ain't_day,1,0.072,0.09,1,0.43,['DCB_se1_ag1_f_03_1']
i_ain't_cussing,1,0.072,0.09,1,0.43,['DCB_se1_ag3_f_03_1']
i_ain't_count,1,0.072,0.09,1,0.43,['DCA_se1_ag1_f_04_1']
i_ain't_catch,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_03_1']
i_ain't_call,1,0.072,0.09,1,0.43,['DCB_se1_ag4_m_02_1']
i_ain't_buying,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_05_1']
i_ain't_breaking,1,0.072,0.09,1,0.43,['LES_se0_ag4_m_02_1']
i_ain't_bought,1,0.072,0.09,1,0.43,['PRV_se0_ag3_m_02_2']
i_ain't_boo,1,0.072,0.09,1,0.43,['DCB_se1_ag1_f_03_1']
i_ain't_been,1,0.072,0.09,1,0.43,['VLD_se0_ag4_m_02_1']
i_ain't_at,1,0.072,0.09,1,0.43,['PRV_se0_ag1_m_02_1']
i_ain't_antiwhite,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
i_ain't_accept,1,0.072,0.09,1,0.43,['DCB_se2_ag3_m_03_1']
i_ain't_able,1,0.072,0.09,1,0.43,['DCB_se1_ag3_f_03_1']
hecht's_ain't_have,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_05_1']
he_ain't_working,1,0.072,0.09,1,0.43,['PRV_se0_ag3_m_02_1']
he_ain't_trying,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
he_ain't_trip,1,0.072,0.09,1,0.43,['DCB_se2_ag3_m_03_1']
he_ain't_there,1,0.072,0.09,1,0.43,['DCA_se2_ag1_f_05_1']
he_ain't_take,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_05_1']
he_ain't_see,1,0.072,0.09,1,0.43,['DCA_se1_ag1_m_02_1']
he_ain't_run,1,0.072,0.09,1,0.43,['LES_se0_ag3_m_01_1']
he_ain't_ran,1,0.072,0.09,1,0.43,['VLD_se0_ag4_m_02_1']
i_ain't_drunk,1,0.072,0.09,1,0.43,['DCB_se1_ag4_f_01_2']
i_ain't_eat,1,0.072,0.09,1,0.43,['DCA_se1_ag1_f_04_1']
rdname_ain't_like,1,0.072,0.09,1,0.43,['DCB_se1_ag1_f_03_1']
i_ain't_even,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_02_1']
i_ain't_out,1,0.072,0.09,1,0.43,['LES_se0_ag3_m_01_2']
i_ain't_on,1,0.072,0.09,1,0.43,['DCB_se1_ag4_f_01_2']
i_ain't_nowhere,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_03_2']
i_ain't_notice,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
i_ain't_nothing,1,0.072,0.09,1,0.43,['DCA_se1_ag4_m_02_1']
i_ain't_moving,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_05_1']
i_ain't_meet,1,0.072,0.09,1,0.43,['DCB_se1_ag1_m_01_1']
i_ain't_mean,1,0.072,0.09,1,0.43,['DCA_se1_ag1_f_04_1']
i_ain't_matter,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_03_1']
i_ain't_making,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
i_ain't_major,1,0.072,0.09,1,0.43,['DCA_se1_ag4_m_02_1']
i_ain't_look,1,0.072,0.09,1,0.43,['DCA_se1_ag1_f_02_1']
i_ain't_leaving,1,0.072,0.09,1,0.43,['LES_se0_ag3_m_02_1']
i_ain't_learnt,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_04_2']
i_ain't_learned,1,0.072,0.09,1,0.43,['DCA_se1_ag1_m_03_1']
i_ain't_late,1,0.072,0.09,1,0.43,['DCA_se1_ag1_m_02_1']
i_ain't_kill,1,0.072,0.09,1,0.43,['DCB_se1_ag4_m_02_1']
i_ain't_keep,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_01_1']
i_ain't_hit,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_05_1']
i_ain't_hater,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_03_1']
i_ain't_girlfriend,1,0.072,0.09,1,0.43,['DCB_se1_ag1_f_03_1']
i_ain't_fun,1,0.072,0.09,1,0.43,['DCA_se1_ag1_f_03_1']
i_ain't_forgot,1,0.072,0.09,1,0.43,['VLD_se0_ag2_f_01_1']
i_ain't_feeling,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_03_1']
i_ain't_fan,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
he_ain't_played,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
he_ain't_mean,1,0.072,0.09,1,0.43,['DCA_se1_ag1_f_03_1']
he_ain't_make,1,0.072,0.09,1,0.43,['DCA_se1_ag1_m_04_1']
he_ain't_lose,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
constituentboundary_ain't_reason,1,0.072,0.09,1,0.43,['PRV_se0_ag3_f_03_1']
constituentboundary_ain't_old,1,0.072,0.09,1,0.43,['DCA_se1_ag1_m_07_1']
constituentboundary_ain't_off,1,0.072,0.09,1,0.43,['PRV_se0_ag1_m_02_1']
constituentboundary_ain't_move,1,0.072,0.09,1,0.43,['PRV_se0_ag3_f_03_1']
constituentboundary_ain't_motion,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_01_1']
constituentboundary_ain't_let,1,0.072,0.09,1,0.43,['DCB_se3_ag4_m_01_1']
constituentboundary_ain't_know,1,0.072,0.09,1,0.43,['PRV_se0_ag1_m_02_1']
constituentboundary_ain't_it,1,0.072,0.09,1,0.43,['DCB_se1_ag4_m_02_1']
constituentboundary_ain't_interested,1,0.072,0.09,1,0.43,['PRV_se0_ag3_m_01_2']
constituentboundary_ain't_food,1,0.072,0.09,1,0.43,['DCB_se1_ag4_m_02_1']
constituentboundary_ain't_drive,1,0.072,0.09,1,0.43,['PRV_se0_ag3_f_03_1']
constituentboundary_ain't_done,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_03_1']
constituentboundary_ain't_doing,1,0.072,0.09,1,0.43,['VLD_se0_ag4_m_02_1']
constituentboundary_ain't_do,1,0.072,0.09,1,0.43,['PRV_se0_ag3_m_03_1']
constituentboundary_ain't_dinner,1,0.072,0.09,1,0.43,['PRV_se0_ag1_m_02_1']
constituentboundary_ain't_connected,1,0.072,0.09,1,0.43,['DCB_se2_ag3_m_01_1']
constituentboundary_ain't_boutique,1,0.072,0.09,1,0.43,['LES_se0_ag2_f_02_1']
constituentboundary_ain't_boo,1,0.072,0.09,1,0.43,['DCB_se1_ag1_f_03_1']
constituentboundary_ain't_beating,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_01_1']
constituentboundary_ain't_allow,1,0.072,0.09,1,0.43,['DCB_se3_ag4_m_01_1']
constituentboundary_ain't_about,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_01_1']
cheating_ain't_thing,1,0.072,0.09,1,0.43,['DCB_se1_ag2_f_02_1']
beach_ain't_far,1,0.072,0.09,1,0.43,['PRV_se0_ag1_f_01_2']
bacca_ain't_nothing,1,0.072,0.09,1,0.43,['PRV_se0_ag1_m_02_1']
avenue a_ain't_difference,1,0.072,0.09,1,0.43,['LES_se0_ag4_m_02_1']
constituentboundary_ain't_seen,1,0.072,0.09,1,0.43,['VLD_se0_ag3_m_03_1']
constituentboundary_ain't_teenager,1,0.072,0.09,1,0.43,['DCB_se1_ag4_m_02_1']
constituentboundary_ain't_thousand,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
half_ain't_got,1,0.072,0.09,1,0.43,['VLD_se0_ag3_m_03_1']
he_ain't_lived,1,0.072,0.09,1,0.43,['PRV_se0_ag3_f_02_2']
he_ain't_know,1,0.072,0.09,1,0.43,['DCA_se1_ag1_m_02_1']
he_ain't_it,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
he_ain't_into,1,0.072,0.09,1,0.43,['PRV_se0_ag1_f_02_1']
he_ain't_going,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
he_ain't_getting,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_03_1']
he_ain't_get,1,0.072,0.09,1,0.43,['DCB_se1_ag1_f_03_1']
he_ain't_fuck,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_03_1']
he_ain't_do,1,0.072,0.09,1,0.43,['ATL_se0_ag1_f_01_1']
he_ain't_coming,1,0.072,0.09,1,0.43,['PRV_se0_ag3_m_03_1']
he_ain't_black,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_03_1']
guiding light_ain't_on,1,0.072,0.09,1,0.43,['VLD_se0_ag4_f_02_1']
constituentboundary_ain't_traditions,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
gogo_ain't_nothing,1,0.072,0.09,1,0.43,['DCB_se2_ag3_m_01_1']
game_ain't_last,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_03_1']
food_ain't_secret,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_05_1']
everything_ain't_for,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_03_1']
everything_ain't_about,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_03_1']
everybody_ain't_like,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_03_1']
dwayne wade_ain't_going,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
doctor_ain't_tell,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_01_1']
daddies_ain't_around,1,0.072,0.09,1,0.43,['DCB_se1_ag4_m_02_1']
constituentboundary_ain't_worry,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
constituentboundary_ain't_understand,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_02_1']
i_ain't_plan,1,0.072,0.09,1,0.43,['PRV_se0_ag3_f_03_1']
i_ain't_play,1,0.072,0.09,1,0.43,['DCA_se1_ag1_f_04_1']
i_ain't_put,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_04_1']
jesus_ain't_nowhere,1,0.072,0.09,1,0.43,['DCB_se2_ag3_m_01_1']
nobody_ain't_here,1,0.072,0.09,1,0.43,['PRV_se0_ag3_m_02_1']
nobody_ain't_help,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_01_1']
nobody_ain't_getting,1,0.072,0.09,1,0.43,['PRV_se0_ag1_m_02_1']
nobody_ain't_doing,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_04_2']
nobody_ain't_chump,1,0.072,0.09,1,0.43,['DCB_se2_ag3_m_03_1']
nobody_ain't_change,1,0.072,0.09,1,0.43,['DCB_se2_ag3_m_03_1']
nobody_ain't_came,1,0.072,0.09,1,0.43,['PRV_se0_ag3_f_03_1']
nobody_ain't_bother,1,0.072,0.09,1,0.43,['DCA_se1_ag4_m_02_1']
nobody_ain't_around,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
nobody_ain't_about,1,0.072,0.09,1,0.43,['ATL_se0_ag2_f_02_1']
niggas_ain't_going,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_03_1']
